EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
245,1429,1,01/01/1900,8/19/1988,6 year old male; unknown timeframe; MINOR
246,1429,2,9/22/1995,08/05/1996,14 year old male; < 11 month timeframe; MINOR
247,1430,1,01/01/1900,1/30/1984,Unknown age female; unknown timeframe; MINOR
248,1430,2,05/02/1999,3/27/2000,Adult female; < 11 month timeframe; MODERATE
249,1503,1,01/01/1900,09/09/1990,5 year old female; unknown timeframe; MINOR
250,1503,2,09/09/1990,8/27/1993,8 year old female; < 3 year timeframe; MINOR
251,1505,1,01/01/1900,07/04/1988,3 year old male; unknown timeframe; MINOR
252,1505,2,8/28/1989,09/11/1990,5 year old male; < 13 month timeframe; MINOR
253,1505,3,09/11/1990,03/06/1991,6 year old male; < 6 month timeframe; MINOR
254,1505,5,08/05/1996,04/12/1997,12 year old male; < 1 year timeframe; GEAR; MODERATE
255,1506,1,8/25/1994,08/02/1995,10 year old male; < 1 year timeframe; GEAR; MODERATE
256,1507,1,9/25/1993,7/16/1995,10 year old male; < 2 year timeframe; MINOR
257,1507,2,10/13/1997,3/24/1998,13 year old male; < 6 month timeframe; MINOR
258,1507,3,8/23/1998,3/25/1999,14 year old male; < 8 month timeframe; MINOR
259,1507,4,3/17/2001,04/04/2001,16 year old male; < 1 month timeframe; MINOR
260,1509,1,01/01/1900,05/04/1980,Unknown age female; unknown timeframe; MODERATE
262,1509,2,10/26/1986,8/23/1988,Adult female; < 2 year timeframe; MODERATE
263,1509,3,10/10/1992,04/01/1994,Adult female; < 2 year timeframe; MINOR
264,1509,4,03/06/1998,1/27/1999,Adult female; < 11 month timeframe; MINOR
265,1511,1,01/01/1900,4/16/1985,Unknown age male; unknown timeframe; MINOR
268,1513,1,10/03/1987,4/14/1988,Unknown age and sex; 7 month timeframe; MINOR
269,1513,2,8/29/1991,4/13/1996,"Adult, unknown sex; > 3 year timeframe; MODERATE"
270,1514,1,3/31/1995,8/18/1997,Adult male; < 3 year timeframe; MINOR
271,1514,2,9/16/1997,07/07/2000,Adult male; < 3 year timeframe; MINOR
272,1515,1,01/01/1900,12/18/1991,Unknown age female;unknown timeframe; MINOR
273,3110,1,01/01/1900,8/24/2002,1 year old male; < 2 year timeframe; MINOR
274,3111,1,02/06/2001,03/02/2001,"Calf, male; < 1 month timeframe; MINOR"
275,3111,2,9/15/2001,12/28/2002,1 year old male; < 2 year timeframe; MINOR
276,1601,1,09/08/1995,1/23/1997,11 year old female; < 2 year timeframe; MINOR
277,1601,2,03/05/1998,01/12/2000,14 year old female; < 2 year timeframe; GEAR?; SEVERE
279,1602,1,9/19/1988,2/18/1992,6 year old female; > 3 year timeframe; MINOR
280,1602,2,9/26/1994,03/12/1995,9 year old female; < 6 month timeframe; MINOR
281,1602,3,09/04/1997,5/28/1999,13 year old female; < 2 year timeframe; MINOR
282,1602,4,5/29/1999,8/23/1999,13 year old female; < 3 month timeframe; MINOR
283,1602,5,06/11/2001,7/20/2001,15 year old female; < 2 month timeframe; MINOR
284,1603,1,10/08/1995,08/03/1997,11 year old male; < 2 year timeframe; MINOR
285,1603,2,9/18/2001,8/30/2002,16 year old male; < 1 year timeframe; MINOR
286,1604,1,9/27/1995,1/17/2002,Adult female; > 3 year timeframe; MODERATE
287,1607,1,01/01/1900,9/21/1986,"Calf, male; < 1 year timeframe; MINOR"
288,1608,1,2/21/1986,6/19/1986,"Calf, female; < 4 month timeframe; MINOR"
289,1608,2,10/25/1986,08/09/1991,5 year old female; > 3 year timeframe; MINOR
290,1608,3,10/08/1995,3/20/1996,10 year old female; < 5 month timeframe; MINOR
291,1608,4,09/01/1996,7/25/1997,11 year old female; < 11 month timeframe; MODERATE
292,1609,1,01/01/1900,10/11/1986,"Calf, male; < 1 year timeframe; MINOR"
293,1609,2,10/26/1986,8/26/1987,1 year old male; < 10 month timeframe; MINOR
294,1609,3,10/11/1987,01/05/1996,10 year old male; > 3 year timeframe; MINOR
295,1610,1,01/01/1900,7/30/1986,"Calf, male; < 1 year timeframe; MINOR"
296,1611,1,10/25/1986,7/29/1987,1 year old female; < 10 month timeframe; MODERATE
297,1611,2,1/20/1997,8/14/1997,11 year old female; < 7 month timeframe; MINOR
299,1612,1,01/01/1900,7/28/1986,Unknown age female; unknown timeframe; MODERATE
300,1612,2,9/19/1992,01/09/1999,Adult female; > 3 year timeframe; MODERATE
301,1612,3,5/22/1999,05/05/2002,Adult female; < 3 year timeframe; MINOR
303,1613,1,10/10/1989,8/16/1990,4 year old male; < 11 month timeframe; MINOR
304,1613,2,10/07/1990,08/09/1994,8 year old male; > 3 year timeframe; MINOR
305,1616,1,01/01/1900,8/28/1987,Unknown age male; unknown timeframe; MINOR
306,1616,2,8/16/1996,6/28/1997,Adult male; < 11 month timeframe; MINOR
307,1617,1,01/01/1900,4/23/1973,Unknown age male; unknown timeframe; MINOR
308,1617,2,8/31/1988,6/19/2002,Adult male; > 3 year timeframe; MINOR
309,1619,1,3/30/1970,2/24/1986,Adult female; > 3 year timeframe; MINOR
310,1619,2,05/11/1988,10/20/1992,Adult female; > 3 year timeframe; MINOR
311,1621,1,01/01/1900,08/01/1986,Unknown age male; unknown timeframe; MINOR
312,1621,2,02/03/1993,01/07/1994,Adult male; < 1 year timeframe; SEVERE
313,1622,1,01/01/1900,08/01/1986,Unknown age female; unknown timeframe; MINOR
314,1622,2,10/25/1986,8/31/1988,Unknown age female; < 2 year timeframe; MINOR
315,1622,3,03/06/1991,3/20/1996,Adult female; > 3 year timeframe; MINOR
316,1622,4,04/12/1996,01/04/2002,Adult female; > 3 year timeframe; MINOR
317,1623,1,01/01/1900,5/23/1985,Unknown age male; unknown timeframe; MODERATE
318,1623,2,9/22/1990,8/28/1991,Unknown age male; < 1 year timeframe; MINOR
319,1624,1,01/01/1900,07/12/1997,Adult male; unknown timeframe; MINOR
320,1625,1,01/01/1900,09/09/1991,Unknown age male; unknown timeframe; MINOR
321,1625,2,8/26/1996,08/02/1997,Adult male; < 1 year timeframe; MINOR
322,1627,1,01/01/1900,8/23/1986,Unknown age male; unknown timeframe; MINOR
323,1628,1,01/01/1900,6/29/1986,Unknown age and sex; unknown timeframe; MINOR
324,1629,1,01/01/1900,8/15/1990,Unknown age female; unknown timeframe; MINOR
325,1630,1,8/26/1997,07/06/1999,Adult male; < 2 year timeframe; MINOR
326,1632,1,09/01/1988,3/17/2002,Adult female; > 3 year timeframe; MINOR
327,1701,1,01/01/1900,08/12/1988,1 year old female; < 2 year timeframe; MINOR
328,1701,2,3/28/1997,8/15/1997,10 year old female; < 5 month timeframe; MINOR
329,1701,3,3/17/2001,7/27/2001,"14 year old female; < 5 month timeframe, MINOR"
330,1703,1,10/12/1989,8/15/1990,3 year old female; < 11 month timeframe; MINOR
331,1703,2,09/06/1997,12/21/2000,13 year old female; > 3 year timeframe; MINOR
332,1704,1,4/13/1992,8/13/1992,5 year old female; < 4 month timeframe; MINOR
333,1704,2,8/22/1993,3/30/1994,7 year old female; < 8 month timeframe; MINOR
334,1704,3,04/09/1996,07/12/1996,9 year old female; < 4 month timeframe; MINOR
335,1705,1,10/07/1989,8/15/1990,3 year old female; < 11 month timeframe; MINOR
336,1705,3,9/27/1996,07/01/1997,10 year old female; < 10 month timeframe; GEAR; MINOR
337,1706,1,10/07/1987,8/14/1988,1 year old female; < 10 month timeframe; MINOR
338,1706,2,09/01/1988,08/09/1989,2 year old female; < 1 year timeframe; MINOR
339,1706,3,08/12/1991,8/22/1993,6 year old female; < 3 year timeframe; MINOR
340,1706,4,04/09/1996,08/04/1997,10 year old female; < 2 year timeframe; MINOR
342,1706,6,10/05/2000,8/29/2002,15 year old female; < 2 year timeframe; MINOR
343,1707,1,10/10/1989,8/13/1992,5 year old female; < 3 year timeframe; MINOR
344,1707,2,10/03/1995,01/06/1996,9 year old female; < 4 month timeframe; GEAR; MODERATE
346,1708,1,04/01/1992,08/03/1997,10 year old male; > 3 year timeframe; MINOR
347,1709,1,01/01/1900,8/27/1993,6 year old male; unknown timeframe; MINOR
